match_id,match_no,date,group,team_id,team_name,opponent_id,opponent_name,is_team_a,goals_for,goals_against,result,points,possession,shots,shots_on_target,shot_accuracy,xg_for,xg_against,xg_diff,big_chances,corners,yellow_cards,red_cards,formation,source_url,data_status
2026-06-17_match-20,20,2026-06-17,J,JOR,Jordania,AUT,Austria,False,1,3,P,0,38.0,11,4,0.36363636363636365,0.96,1.65,-0.69,7,3,0,0,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-austria-vs-jordan-jun-17-2026-game-boxscore-647632,verified
2026-06-17_match-21,21,2026-06-17,K,POR,Portugal,COD,DR Congo,True,1,1,E,1,75.0,9,3,0.3333,0.7,0.5,0.2,6,5,3,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-portugal-vs-dr-congo-jun-17-2026-game-boxscore-647636,verified
2026-06-17_match-21,21,2026-06-17,K,COD,DR Congo,POR,Portugal,False,1,1,E,1,25.0,8,2,0.25,0.5,0.7,-0.2,7,4,1,0,5-3-2,https://www.foxsports.com/soccer/fifa-world-cup-men-portugal-vs-dr-congo-jun-17-2026-game-boxscore-647636,verified
2026-06-17_match-22,22,2026-06-17,L,ENG,Inglaterra,CRO,Croacia,True,4,2,G,3,54.0,20,12,0.6,2.9,0.9,2.0,14,8,0,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-england-vs-croatia-jun-17-2026-game-boxscore-647637,verified
2026-06-17_match-22,22,2026-06-17,L,CRO,Croacia,ENG,Inglaterra,False,2,4,P,0,46.0,11,5,0.4545,0.9,2.9,-2.0,7,2,0,0,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-england-vs-croatia-jun-17-2026-game-boxscore-647637,verified
2026-06-17_match-23,23,2026-06-17,L,GHA,Ghana,PAN,Panamá,True,1,0,G,3,37.0,8,3,0.375,1.1,0.7,0.4,7,2,1,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-ghana-vs-panama-jun-17-2026-game-boxscore-647638,verified
2026-06-17_match-23,23,2026-06-17,L,PAN,Panamá,GHA,Ghana,False,0,1,P,0,63.0,11,4,0.3636,0.7,1.1,-0.4,8,2,2,0,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-ghana-vs-panama-jun-17-2026-game-boxscore-647638,verified
2026-06-17_match-24,24,2026-06-17,K,UZB,Uzbekistán,COL,Colombia,True,1,3,P,0,33.0,7,3,0.4286,0.7,1.0,-0.3,2,3,1,0,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-uzbekistan-vs-colombia-jun-17-2026-game-boxscore-647639,verified
2026-06-17_match-24,24,2026-06-17,K,COL,Colombia,UZB,Uzbekistán,False,3,1,G,3,67.0,15,6,0.4,1.0,0.7,0.3,9,4,1,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-uzbekistan-vs-colombia-jun-17-2026-game-boxscore-647639,verified
2026-06-18_match-25,25,2026-06-18,A,CZE,República Checa,RSA,Sudáfrica,True,1,1,E,1,38.0,12,3,0.25,0.85,1.48,-0.63,9,5,1,0,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-czechia-vs-south-africa-jun-18-2026-game-boxscore-647640,verified
2026-06-18_match-25,25,2026-06-18,A,RSA,Sudáfrica,CZE,República Checa,False,1,1,E,1,62.0,17,5,0.2941,1.48,0.85,0.63,11,5,2,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-czechia-vs-south-africa-jun-18-2026-game-boxscore-647640,verified
2026-06-18_match-26,26,2026-06-18,B,SUI,Suiza,BIH,Bosnia y Herzegovina,True,4,1,G,3,62.0,13,8,0.6154,2.23,0.27,1.96,9,7,1,0,4-3-3,https://www.foxsports.com/soccer/fifa-world-cup-men-switzerland-vs-bosnia-and-herzegovina-jun-18-2026-game-boxscore-647641,verified
2026-06-18_match-26,26,2026-06-18,B,BIH,Bosnia y Herzegovina,SUI,Suiza,False,1,4,P,0,38.0,4,3,0.75,0.27,2.23,-1.96,3,3,2,1,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-switzerland-vs-bosnia-and-herzegovina-jun-18-2026-game-boxscore-647641,verified
2026-06-18_match-27,27,2026-06-18,B,CAN,Canadá,QAT,Catar,True,6,0,G,3,78.0,31,10,0.3226,3.36,0.14,3.22,17,19,1,0,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-canada-vs-qatar-jun-18-2026-game-boxscore-647642,verified
2026-06-18_match-27,27,2026-06-18,B,QAT,Catar,CAN,Canadá,False,0,6,P,0,22.0,2,0,0.0,0.14,3.36,-3.22,1,1,1,2,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-canada-vs-qatar-jun-18-2026-game-boxscore-647642,verified
2026-06-18_match-28,28,2026-06-18,A,MEX,México,KOR,Corea del Sur,True,1,0,G,3,43.0,8,4,0.5,0.66,0.53,0.13,4,0,0,0,4-1-2-3,https://www.foxsports.com/soccer/fifa-world-cup-men-mexico-vs-south-korea-jun-18-2026-game-boxscore-647643,verified
2026-06-18_match-28,28,2026-06-18,A,KOR,Corea del Sur,MEX,México,False,0,1,P,0,57.0,8,2,0.25,0.53,0.66,-0.13,4,2,2,0,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-mexico-vs-south-korea-jun-18-2026-game-boxscore-647643,verified
