match_id,date,team_a_id,team_b_id,team_a_goals,team_b_goals,actual_result,total_goals_real,source_url,verified_at,data_status
2026-06-27_match-71,2026-06-27,DZA,AUT,3,3,draw,6,https://www.foxsports.com/soccer/fifa-world-cup-men-algeria-vs-austria-jun-27-2026-game-boxscore-647687?tab=boxscore; https://www.11v11.com/matches/algeria-v-austria-27-june-2026-393591/,2026-07-04T15:25:53.666978+00:00,verified
2026-06-27_match-72,2026-06-27,JOR,ARG,1,3,team_b_win,4,https://www.foxsports.com/soccer/fifa-world-cup-men-jordan-vs-argentina-jun-27-2026-game-boxscore-647686?tab=boxscore; https://www.11v11.com/matches/jordan-v-argentina-27-june-2026-393592/,2026-07-04T15:25:53.666978+00:00,verified
2026-06-28_match-73,2026-06-28,RSA,CAN,0,1,team_b_win,1,https://www.foxsports.com/soccer/fifa-world-cup-men-2a-vs-2b-jun-28-2026-game-boxscore-607903?tab=boxscore,2026-07-04T15:25:53.666978+00:00,verified
2026-06-29_match-74,2026-06-29,GER,PAR,1,1,draw,2,https://www.foxsports.com/soccer/fifa-world-cup-men-germany-vs-paraguay-jun-29-2026-game-boxscore-607904?tab=boxscore,2026-07-04T15:25:53.666978+00:00,verified
2026-06-29_match-75,2026-06-29,NED,MAR,1,1,draw,2,https://www.foxsports.com/soccer/fifa-world-cup-men-1f-vs-2c-jun-29-2026-game-boxscore-607905?tab=boxscore,2026-07-04T15:25:53.666978+00:00,verified
2026-06-29_match-76,2026-06-29,BRA,JPN,2,1,team_a_win,3,https://www.foxsports.com/soccer/fifa-world-cup-men-1c-vs-2f-jun-29-2026-game-boxscore-607906?tab=boxscore,2026-07-04T15:25:53.666978+00:00,verified
2026-06-30_match-77,2026-06-30,CIV,NOR,1,2,team_b_win,3,https://www.foxsports.com/soccer/fifa-world-cup-men-ivory-coast-vs-norway-jun-30-2026-game-boxscore-607908?tab=boxscore; https://www.11v11.com/matches/ivory-coast-v-norway-30-june-2026-393756/,2026-07-04T15:25:53.666978+00:00,verified
2026-06-30_match-78,2026-06-30,FRA,SWE,3,0,team_a_win,3,https://www.foxsports.com/soccer/fifa-world-cup-men-france-vs-sweden-jun-30-2026-game-boxscore-607907?tab=boxscore; https://www.11v11.com/matches/france-v-sweden-30-june-2026-393757/,2026-07-04T15:25:53.666978+00:00,verified
2026-06-30_match-79,2026-06-30,MEX,ECU,2,0,team_a_win,2,https://www.foxsports.com/soccer/fifa-world-cup-men-mexico-vs-ecuador-jun-30-2026-game-boxscore-607909?tab=boxscore; https://www.11v11.com/matches/mexico-v-ecuador-30-june-2026-393758/,2026-07-04T15:25:53.666978+00:00,verified
2026-07-01_match-80,2026-07-01,ENG,COD,2,1,team_a_win,3,https://www.foxsports.com/soccer/fifa-world-cup-men-england-vs-dr-congo-jul-01-2026-game-boxscore-607912?tab=boxscore; https://www.11v11.com/matches/england-v-congo-dr-01-july-2026-393759/; https://www.fifa.com/en/match-centre/match/17/285023/289287/400021512,2026-07-04T15:25:53.666978+00:00,verified
2026-07-01_match-81,2026-07-01,BEL,SEN,3,2,team_a_win,5,https://www.foxsports.com/soccer/fifa-world-cup-men-belgium-vs-senegal-jul-01-2026-game-boxscore-607911?tab=boxscore; https://www.11v11.com/matches/belgium-v-senegal-01-july-2026-393760/,2026-07-04T15:25:53.666978+00:00,verified
2026-07-01_match-82,2026-07-01,USA,BIH,2,0,team_a_win,2,https://www.foxsports.com/soccer/fifa-world-cup-men-united-states-vs-bosnia-and-herzegovina-jul-01-2026-game-boxscore-607910?tab=boxscore; https://www.11v11.com/matches/usa-v-bosnia-and-herzegovina-01-july-2026-393761/,2026-07-04T15:25:53.666978+00:00,verified
1970-01-01_match-83,1970-01-01,ESP,AUT,3,0,team_a_win,3,https://www.foxsports.com/soccer/fifa-world-cup-men-spain-vs-austria-jul-02-2026-game-boxscore-607915?tab=boxscore; https://www.11v11.com/matches/spain-v-austria-02-july-2026-393762/; https://www.stadiumsportus.com/sport/event/8692,2026-07-04T15:25:53.666978+00:00,verified
1970-01-01_match-84,1970-01-01,POR,CRO,2,1,team_a_win,3,https://www.foxsports.com/soccer/fifa-world-cup-men-portugal-vs-croatia-jul-02-2026-game-boxscore-607914?tab=boxscore; https://www.11v11.com/matches/portugal-v-croatia-02-july-2026-393763/; https://eu-football.info/_match.php?id=19984; https://www.skysports.com/football/portugal-vs-croatia/549850,2026-07-04T15:25:53.666978+00:00,verified
1970-01-01_match-85,1970-01-01,SUI,DZA,2,0,team_a_win,2,https://www.foxsports.com/soccer/fifa-world-cup-men-switzerland-vs-algeria-jul-02-2026-game-boxscore-607913?tab=boxscore; https://www.11v11.com/matches/switzerland-v-algeria-02-july-2026-393764/; https://www.skysports.com/football/switzerland-vs-algeria/549848; https://www.espn.com/soccer/match/_/gameId/760498/algeria-switzerland,2026-07-04T15:25:53.666978+00:00,verified
1970-01-01_match-86,1970-01-01,AUS,EGY,1,1,draw,2,https://www.foxsports.com/soccer/fifa-world-cup-men-australia-vs-egypt-jul-03-2026-game-boxscore-607916?tab=boxscore; https://www.skysports.com/football/australia-vs-egypt/549851; https://www.espn.com/soccer/match/_/gameId/760499; https://www.theguardian.com/football/2026/jul/03/australia-egypt-world-cup-2026-last-32-match-report,2026-07-04T15:25:53.666978+00:00,verified
1970-01-01_match-87,1970-01-01,ARG,CPV,3,2,team_a_win,5,https://www.foxsports.com/soccer/fifa-world-cup-men-argentina-vs-cape-verde-jul-03-2026-game-boxscore-607918?tab=boxscore; https://www.11v11.com/matches/argentina-v-cape-verde-islands-03-july-2026-393766/; https://www.skysports.com/football/argentina-vs-cape-verde/549852; https://www.theguardian.com/football/live/2026/jul/03/argentina-v-cape-verde-world-cup-2026-last-32-live,2026-07-04T15:25:53.666978+00:00,verified
1970-01-01_match-88,1970-01-01,COL,GHA,1,0,team_a_win,1,https://www.foxsports.com/soccer/fifa-world-cup-men-colombia-vs-ghana-jul-03-2026-game-boxscore-607917?tab=boxscore; https://www.fifa.com/en/match-centre/match/17/285023/289287/400021517; https://www.skysports.com/football/colombia-vs-ghana/549853; https://www.kansascity.com/sports/fifa-world-cup/article316378169.html,2026-07-04T15:25:53.666978+00:00,verified
